LAST SEEN   TYPE     REASON              OBJECT                                         MESSAGE
21m         Normal   Pulled              pod/anomalo-worker-control-746597f8dd-lq7zx    Successfully pulled image "us-docker.pkg.dev/anomalo-invpc/joe-test-1/deploy-web:joe-test-1" in 1.31s (1.311s including waiting). Image size: 3279694266 bytes.
21m         Normal   Created             pod/anomalo-worker-control-746597f8dd-b952t    Created container: worker
21m         Normal   Created             pod/anomalo-worker-control-746597f8dd-hvbkw    Created container: worker
21m         Normal   Started             pod/anomalo-worker-control-746597f8dd-hvbkw    Started container worker
21m         Normal   Started             pod/anomalo-worker-control-746597f8dd-6gqp4    Started container worker
21m         Normal   Pulled              pod/anomalo-worker-control-746597f8dd-b952t    Successfully pulled image "us-docker.pkg.dev/anomalo-invpc/joe-test-1/deploy-web:joe-test-1" in 745ms (745ms including waiting). Image size: 3279694266 bytes.
21m         Normal   Pulled              pod/anomalo-worker-control-746597f8dd-hvbkw    Successfully pulled image "us-docker.pkg.dev/anomalo-invpc/joe-test-1/deploy-web:joe-test-1" in 721ms (721ms including waiting). Image size: 3279694266 bytes.
21m         Normal   Started             pod/anomalo-worker-control-746597f8dd-b952t    Started container worker
21m         Normal   Pulled              pod/anomalo-worker-control-746597f8dd-v5s69    Successfully pulled image "us-docker.pkg.dev/anomalo-invpc/joe-test-1/deploy-web:joe-test-1" in 1.309s (1.309s including waiting). Image size: 3279694266 bytes.
21m         Normal   Pulled              pod/anomalo-worker-control-746597f8dd-cmrt4    Successfully pulled image "us-docker.pkg.dev/anomalo-invpc/joe-test-1/deploy-web:joe-test-1" in 1.232s (1.232s including waiting). Image size: 3279694266 bytes.
21m         Normal   Created             pod/anomalo-worker-control-746597f8dd-cmrt4    Created container: worker
21m         Normal   Started             pod/anomalo-worker-control-746597f8dd-qjbsb    Started container worker
21m         Normal   Pulled              pod/anomalo-worker-control-746597f8dd-h7nrh    Successfully pulled image "us-docker.pkg.dev/anomalo-invpc/joe-test-1/deploy-web:joe-test-1" in 702ms (702ms including waiting). Image size: 3279694266 bytes.
21m         Normal   Pulled              pod/anomalo-worker-control-746597f8dd-pvtcf    Successfully pulled image "us-docker.pkg.dev/anomalo-invpc/joe-test-1/deploy-web:joe-test-1" in 756ms (756ms including waiting). Image size: 3279694266 bytes.
21m         Normal   Created             pod/anomalo-worker-control-746597f8dd-pvtcf    Created container: worker
21m         Normal   Started             pod/anomalo-worker-control-746597f8dd-pvtcf    Started container worker
21m         Normal   Created             pod/anomalo-worker-control-746597f8dd-h7nrh    Created container: worker
21m         Normal   Started             pod/anomalo-worker-control-746597f8dd-h7nrh    Started container worker
21m         Normal   Started             pod/anomalo-worker-control-746597f8dd-cmrt4    Started container worker
21m         Normal   Started             pod/anomalo-worker-control-746597f8dd-htvzb    Started container worker
21m         Normal   Created             pod/anomalo-worker-control-746597f8dd-htvzb    Created container: worker
21m         Normal   Started             pod/anomalo-worker-control-746597f8dd-v5s69    Started container worker
21m         Normal   Created             pod/anomalo-worker-control-746597f8dd-v5s69    Created container: worker
21m         Normal   Created             pod/anomalo-worker-control-746597f8dd-lq7zx    Created container: worker
21m         Normal   Started             pod/anomalo-worker-control-746597f8dd-lq7zx    Started container worker
21m         Normal   Pulled              pod/anomalo-worker-control-746597f8dd-htvzb    Successfully pulled image "us-docker.pkg.dev/anomalo-invpc/joe-test-1/deploy-web:joe-test-1" in 1.213s (1.213s including waiting). Image size: 3279694266 bytes.
20m         Normal   Killing             pod/anomalo-worker-control-746597f8dd-v5s69    Stopping container worker
20m         Normal   SuccessfulDelete    replicaset/anomalo-worker-control-746597f8dd   Deleted pod: anomalo-worker-control-746597f8dd-hvbkw
20m         Normal   Killing             pod/anomalo-worker-control-746597f8dd-qjbsb    Stopping container worker
20m         Normal   Killing             pod/anomalo-worker-control-746597f8dd-lq7zx    Stopping container worker
20m         Normal   Killing             pod/anomalo-worker-control-746597f8dd-h7nrh    Stopping container worker
20m         Normal   Killing             pod/anomalo-worker-control-746597f8dd-pvtcf    Stopping container worker
20m         Normal   ScalingReplicaSet   deployment/anomalo-worker-control              Scaled down replica set anomalo-worker-control-746597f8dd from 10 to 0
20m         Normal   SuccessfulDelete    replicaset/anomalo-worker-control-746597f8dd   Deleted pod: anomalo-worker-control-746597f8dd-v5s69
20m         Normal   Killing             pod/anomalo-worker-control-746597f8dd-cmrt4    Stopping container worker
20m         Normal   Killing             pod/anomalo-worker-control-746597f8dd-b952t    Stopping container worker
20m         Normal   Killing             pod/anomalo-worker-control-746597f8dd-hvbkw    Stopping container worker
20m         Normal   Killing             pod/anomalo-worker-control-746597f8dd-6gqp4    Stopping container worker
20m         Normal   Killing             pod/anomalo-worker-control-746597f8dd-htvzb    Stopping container worker
19m         Normal   ScalingReplicaSet   deployment/anomalo-worker-control              Scaled up replica set anomalo-worker-control-746597f8dd from 0 to 2
19m         Normal   Pulling             pod/anomalo-worker-control-746597f8dd-pxmq5    Pulling image "us-docker.pkg.dev/anomalo-invpc/joe-test-1/deploy-web:joe-test-1"
19m         Normal   Pulling             pod/anomalo-worker-control-746597f8dd-4xps9    Pulling image "us-docker.pkg.dev/anomalo-invpc/joe-test-1/deploy-web:joe-test-1"
19m         Normal   Pulled              pod/anomalo-worker-control-746597f8dd-pxmq5    Successfully pulled image "us-docker.pkg.dev/anomalo-invpc/joe-test-1/deploy-web:joe-test-1" in 726ms (726ms including waiting). Image size: 3279694266 bytes.
19m         Normal   Created             pod/anomalo-worker-control-746597f8dd-pxmq5    Created container: worker
19m         Normal   Started             pod/anomalo-worker-control-746597f8dd-4xps9    Started container worker
19m         Normal   Created             pod/anomalo-worker-control-746597f8dd-4xps9    Created container: worker
19m         Normal   Pulled              pod/anomalo-worker-control-746597f8dd-4xps9    Successfully pulled image "us-docker.pkg.dev/anomalo-invpc/joe-test-1/deploy-web:joe-test-1" in 695ms (695ms including waiting). Image size: 3279694266 bytes.
19m         Normal   Started             pod/anomalo-worker-control-746597f8dd-pxmq5    Started container worker
18m         Normal   Killing             pod/anomalo-worker-control-746597f8dd-4xps9    Stopping container worker
18m         Normal   Killing             pod/anomalo-worker-control-746597f8dd-pxmq5    Stopping container worker
18m         Normal   ScalingReplicaSet   deployment/anomalo-worker-control              Scaled down replica set anomalo-worker-control-746597f8dd from 2 to 0
